,Brand,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,acer
0,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,Avita,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
