,Os,DOS,Mac,Windows
0,Windows,0.0,0.0,1.0
1,Windows,0.0,0.0,1.0
2,Windows,0.0,0.0,1.0
3,Windows,0.0,0.0,1.0
4,Windows,0.0,0.0,1.0
5,Windows,0.0,0.0,1.0
6,Windows,0.0,0.0,1.0
7,Windows,0.0,0.0,1.0
8,Windows,0.0,0.0,1.0
9,Windows,0.0,0.0,1.0
10,Windows,0.0,0.0,1.0
11,Windows,0.0,0.0,1.0
12,Windows,0.0,0.0,1.0
13,Windows,0.0,0.0,1.0
14,Windows,0.0,0.0,1.0
15,Windows,0.0,0.0,1.0
16,Windows,0.0,0.0,1.0
17,Windows,0.0,0.0,1.0
18,Windows,0.0,0.0,1.0
19,Windows,0.0,0.0,1.0
20,Windows,0.0,0.0,1.0
21,Windows,0.0,0.0,1.0
22,Windows,0.0,0.0,1.0
23,Windows,0.0,0.0,1.0
24,Windows,0.0,0.0,1.0
25,Windows,0.0,0.0,1.0
26,Windows,0.0,0.0,1.0
27,Windows,0.0,0.0,1.0
28,Windows,0.0,0.0,1.0
29,Windows,0.0,0.0,1.0
30,Windows,0.0,0.0,1.0
31,Windows,0.0,0.0,1.0
32,Windows,0.0,0.0,1.0
33,Windows,0.0,0.0,1.0
34,Windows,0.0,0.0,1.0
35,Windows,0.0,0.0,1.0
36,Windows,0.0,0.0,1.0
37,Windows,0.0,0.0,1.0
38,Windows,0.0,0.0,1.0
39,Windows,0.0,0.0,1.0
40,Windows,0.0,0.0,1.0
41,Windows,0.0,0.0,1.0
42,Windows,0.0,0.0,1.0
43,Windows,0.0,0.0,1.0
44,Windows,0.0,0.0,1.0
45,Windows,0.0,0.0,1.0
46,Windows,0.0,0.0,1.0
47,Windows,0.0,0.0,1.0
48,Windows,0.0,0.0,1.0
49,Windows,0.0,0.0,1.0
50,Windows,0.0,0.0,1.0
51,Windows,0.0,0.0,1.0
52,Windows,0.0,0.0,1.0
53,Windows,0.0,0.0,1.0
54,Windows,0.0,0.0,1.0
55,Windows,0.0,0.0,1.0
56,Windows,0.0,0.0,1.0
57,Windows,0.0,0.0,1.0
58,Windows,0.0,0.0,1.0
59,Windows,0.0,0.0,1.0
60,Windows,0.0,0.0,1.0
61,Windows,0.0,0.0,1.0
62,Windows,0.0,0.0,1.0
63,Windows,0.0,0.0,1.0
64,Windows,0.0,0.0,1.0
65,Windows,0.0,0.0,1.0
66,Windows,0.0,0.0,1.0
67,Windows,0.0,0.0,1.0
68,Windows,0.0,0.0,1.0
69,Windows,0.0,0.0,1.0
70,Windows,0.0,0.0,1.0
71,Windows,0.0,0.0,1.0
72,Windows,0.0,0.0,1.0
73,Windows,0.0,0.0,1.0
74,Windows,0.0,0.0,1.0
75,Windows,0.0,0.0,1.0
76,Windows,0.0,0.0,1.0
77,Windows,0.0,0.0,1.0
78,Windows,0.0,0.0,1.0
79,Windows,0.0,0.0,1.0
80,Windows,0.0,0.0,1.0
81,Windows,0.0,0.0,1.0
82,Windows,0.0,0.0,1.0
83,Windows,0.0,0.0,1.0
84,Windows,0.0,0.0,1.0
85,Windows,0.0,0.0,1.0
86,Windows,0.0,0.0,1.0
87,Windows,0.0,0.0,1.0
88,Windows,0.0,0.0,1.0
89,Windows,0.0,0.0,1.0
90,Windows,0.0,0.0,1.0
91,Windows,0.0,0.0,1.0
92,Windows,0.0,0.0,1.0
93,Windows,0.0,0.0,1.0
94,Windows,0.0,0.0,1.0
95,Windows,0.0,0.0,1.0
96,Windows,0.0,0.0,1.0
97,Windows,0.0,0.0,1.0
98,Windows,0.0,0.0,1.0
99,Windows,0.0,0.0,1.0
100,Windows,0.0,0.0,1.0
101,Windows,0.0,0.0,1.0
102,Windows,0.0,0.0,1.0
103,Windows,0.0,0.0,1.0
104,Windows,0.0,0.0,1.0
105,Windows,0.0,0.0,1.0
106,Windows,0.0,0.0,1.0
107,Windows,0.0,0.0,1.0
108,Windows,0.0,0.0,1.0
109,Windows,0.0,0.0,1.0
110,Windows,0.0,0.0,1.0
111,Windows,0.0,0.0,1.0
112,Windows,0.0,0.0,1.0
113,Windows,0.0,0.0,1.0
114,Windows,0.0,0.0,1.0
115,Windows,0.0,0.0,1.0
116,Windows,0.0,0.0,1.0
117,Windows,0.0,0.0,1.0
118,Windows,0.0,0.0,1.0
119,Windows,0.0,0.0,1.0
120,Windows,0.0,0.0,1.0
121,Windows,0.0,0.0,1.0
122,Windows,0.0,0.0,1.0
123,Windows,0.0,0.0,1.0
124,Windows,0.0,0.0,1.0
125,Windows,0.0,0.0,1.0
126,Windows,0.0,0.0,1.0
127,Windows,0.0,0.0,1.0
128,Windows,0.0,0.0,1.0
129,Windows,0.0,0.0,1.0
130,Windows,0.0,0.0,1.0
131,Windows,0.0,0.0,1.0
132,Windows,0.0,0.0,1.0
133,Windows,0.0,0.0,1.0
134,Windows,0.0,0.0,1.0
135,Windows,0.0,0.0,1.0
136,Windows,0.0,0.0,1.0
137,Windows,0.0,0.0,1.0
138,Windows,0.0,0.0,1.0
139,Windows,0.0,0.0,1.0
140,Windows,0.0,0.0,1.0
141,Windows,0.0,0.0,1.0
142,Windows,0.0,0.0,1.0
143,Windows,0.0,0.0,1.0
144,Windows,0.0,0.0,1.0
145,Windows,0.0,0.0,1.0
146,Windows,0.0,0.0,1.0
147,Windows,0.0,0.0,1.0
148,Windows,0.0,0.0,1.0
149,Windows,0.0,0.0,1.0
150,Windows,0.0,0.0,1.0
151,Windows,0.0,0.0,1.0
152,Windows,0.0,0.0,1.0
153,Windows,0.0,0.0,1.0
154,Windows,0.0,0.0,1.0
155,Windows,0.0,0.0,1.0
156,Windows,0.0,0.0,1.0
157,Windows,0.0,0.0,1.0
158,Windows,0.0,0.0,1.0
159,Windows,0.0,0.0,1.0
160,Windows,0.0,0.0,1.0
161,Windows,0.0,0.0,1.0
162,Windows,0.0,0.0,1.0
163,Windows,0.0,0.0,1.0
164,Windows,0.0,0.0,1.0
165,Windows,0.0,0.0,1.0
166,Windows,0.0,0.0,1.0
167,Windows,0.0,0.0,1.0
168,Windows,0.0,0.0,1.0
169,Windows,0.0,0.0,1.0
170,Windows,0.0,0.0,1.0
171,Windows,0.0,0.0,1.0
172,Windows,0.0,0.0,1.0
173,Windows,0.0,0.0,1.0
174,Windows,0.0,0.0,1.0
175,Windows,0.0,0.0,1.0
176,Windows,0.0,0.0,1.0
177,Windows,0.0,0.0,1.0
178,Windows,0.0,0.0,1.0
179,Windows,0.0,0.0,1.0
180,Windows,0.0,0.0,1.0
181,Windows,0.0,0.0,1.0
182,Windows,0.0,0.0,1.0
183,Windows,0.0,0.0,1.0
184,Windows,0.0,0.0,1.0
185,Windows,0.0,0.0,1.0
186,Windows,0.0,0.0,1.0
187,Windows,0.0,0.0,1.0
188,Windows,0.0,0.0,1.0
189,Windows,0.0,0.0,1.0
190,Windows,0.0,0.0,1.0
191,Windows,0.0,0.0,1.0
192,Windows,0.0,0.0,1.0
193,Windows,0.0,0.0,1.0
194,DOS,1.0,0.0,0.0
195,DOS,1.0,0.0,0.0
196,DOS,1.0,0.0,0.0
197,DOS,1.0,0.0,0.0
198,DOS,1.0,0.0,0.0
199,DOS,1.0,0.0,0.0
200,DOS,1.0,0.0,0.0
201,Windows,0.0,0.0,1.0
202,Windows,0.0,0.0,1.0
