,Processor_brand,AMD,Intel,M1
0,Intel,0.0,1.0,0.0
1,Intel,0.0,1.0,0.0
2,Intel,0.0,1.0,0.0
3,Intel,0.0,1.0,0.0
4,Intel,0.0,1.0,0.0
5,Intel,0.0,1.0,0.0
6,Intel,0.0,1.0,0.0
7,Intel,0.0,1.0,0.0
8,Intel,0.0,1.0,0.0
9,AMD,1.0,0.0,0.0
10,AMD,1.0,0.0,0.0
11,AMD,1.0,0.0,0.0
12,Intel,0.0,1.0,0.0
13,Intel,0.0,1.0,0.0
14,Intel,0.0,1.0,0.0
15,Intel,0.0,1.0,0.0
16,Intel,0.0,1.0,0.0
17,Intel,0.0,1.0,0.0
18,Intel,0.0,1.0,0.0
19,Intel,0.0,1.0,0.0
20,Intel,0.0,1.0,0.0
21,Intel,0.0,1.0,0.0
22,Intel,0.0,1.0,0.0
23,Intel,0.0,1.0,0.0
24,Intel,0.0,1.0,0.0
25,Intel,0.0,1.0,0.0
26,Intel,0.0,1.0,0.0
27,Intel,0.0,1.0,0.0
28,Intel,0.0,1.0,0.0
29,Intel,0.0,1.0,0.0
30,Intel,0.0,1.0,0.0
31,Intel,0.0,1.0,0.0
32,Intel,0.0,1.0,0.0
33,Intel,0.0,1.0,0.0
34,Intel,0.0,1.0,0.0
35,Intel,0.0,1.0,0.0
36,Intel,0.0,1.0,0.0
37,Intel,0.0,1.0,0.0
38,Intel,0.0,1.0,0.0
39,Intel,0.0,1.0,0.0
40,Intel,0.0,1.0,0.0
41,Intel,0.0,1.0,0.0
42,Intel,0.0,1.0,0.0
43,Intel,0.0,1.0,0.0
44,Intel,0.0,1.0,0.0
45,Intel,0.0,1.0,0.0
46,Intel,0.0,1.0,0.0
47,Intel,0.0,1.0,0.0
48,Intel,0.0,1.0,0.0
49,Intel,0.0,1.0,0.0
50,Intel,0.0,1.0,0.0
51,Intel,0.0,1.0,0.0
52,Intel,0.0,1.0,0.0
53,Intel,0.0,1.0,0.0
54,Intel,0.0,1.0,0.0
55,Intel,0.0,1.0,0.0
56,Intel,0.0,1.0,0.0
57,Intel,0.0,1.0,0.0
58,Intel,0.0,1.0,0.0
59,Intel,0.0,1.0,0.0
60,Intel,0.0,1.0,0.0
61,Intel,0.0,1.0,0.0
62,Intel,0.0,1.0,0.0
63,Intel,0.0,1.0,0.0
64,Intel,0.0,1.0,0.0
65,Intel,0.0,1.0,0.0
66,Intel,0.0,1.0,0.0
67,Intel,0.0,1.0,0.0
68,Intel,0.0,1.0,0.0
69,Intel,0.0,1.0,0.0
70,Intel,0.0,1.0,0.0
71,Intel,0.0,1.0,0.0
72,Intel,0.0,1.0,0.0
73,Intel,0.0,1.0,0.0
74,Intel,0.0,1.0,0.0
75,Intel,0.0,1.0,0.0
76,Intel,0.0,1.0,0.0
77,Intel,0.0,1.0,0.0
78,Intel,0.0,1.0,0.0
79,Intel,0.0,1.0,0.0
80,Intel,0.0,1.0,0.0
81,Intel,0.0,1.0,0.0
82,Intel,0.0,1.0,0.0
83,Intel,0.0,1.0,0.0
84,Intel,0.0,1.0,0.0
85,Intel,0.0,1.0,0.0
86,Intel,0.0,1.0,0.0
87,Intel,0.0,1.0,0.0
88,Intel,0.0,1.0,0.0
89,Intel,0.0,1.0,0.0
90,Intel,0.0,1.0,0.0
91,Intel,0.0,1.0,0.0
92,Intel,0.0,1.0,0.0
93,Intel,0.0,1.0,0.0
94,Intel,0.0,1.0,0.0
95,Intel,0.0,1.0,0.0
96,Intel,0.0,1.0,0.0
97,Intel,0.0,1.0,0.0
98,Intel,0.0,1.0,0.0
99,Intel,0.0,1.0,0.0
100,Intel,0.0,1.0,0.0
101,Intel,0.0,1.0,0.0
102,Intel,0.0,1.0,0.0
103,Intel,0.0,1.0,0.0
104,Intel,0.0,1.0,0.0
105,Intel,0.0,1.0,0.0
106,Intel,0.0,1.0,0.0
107,Intel,0.0,1.0,0.0
108,Intel,0.0,1.0,0.0
109,Intel,0.0,1.0,0.0
110,Intel,0.0,1.0,0.0
111,Intel,0.0,1.0,0.0
112,Intel,0.0,1.0,0.0
113,Intel,0.0,1.0,0.0
114,Intel,0.0,1.0,0.0
115,Intel,0.0,1.0,0.0
116,Intel,0.0,1.0,0.0
117,Intel,0.0,1.0,0.0
118,Intel,0.0,1.0,0.0
119,Intel,0.0,1.0,0.0
120,Intel,0.0,1.0,0.0
121,Intel,0.0,1.0,0.0
122,Intel,0.0,1.0,0.0
123,Intel,0.0,1.0,0.0
124,Intel,0.0,1.0,0.0
125,Intel,0.0,1.0,0.0
126,Intel,0.0,1.0,0.0
127,Intel,0.0,1.0,0.0
128,Intel,0.0,1.0,0.0
129,Intel,0.0,1.0,0.0
130,Intel,0.0,1.0,0.0
131,Intel,0.0,1.0,0.0
132,Intel,0.0,1.0,0.0
133,Intel,0.0,1.0,0.0
134,Intel,0.0,1.0,0.0
135,Intel,0.0,1.0,0.0
136,Intel,0.0,1.0,0.0
137,Intel,0.0,1.0,0.0
138,Intel,0.0,1.0,0.0
139,Intel,0.0,1.0,0.0
140,Intel,0.0,1.0,0.0
141,Intel,0.0,1.0,0.0
142,Intel,0.0,1.0,0.0
143,Intel,0.0,1.0,0.0
144,Intel,0.0,1.0,0.0
145,Intel,0.0,1.0,0.0
146,Intel,0.0,1.0,0.0
147,Intel,0.0,1.0,0.0
148,Intel,0.0,1.0,0.0
149,Intel,0.0,1.0,0.0
150,Intel,0.0,1.0,0.0
151,Intel,0.0,1.0,0.0
152,Intel,0.0,1.0,0.0
153,Intel,0.0,1.0,0.0
154,Intel,0.0,1.0,0.0
155,Intel,0.0,1.0,0.0
156,Intel,0.0,1.0,0.0
157,Intel,0.0,1.0,0.0
158,Intel,0.0,1.0,0.0
159,Intel,0.0,1.0,0.0
160,Intel,0.0,1.0,0.0
161,Intel,0.0,1.0,0.0
162,Intel,0.0,1.0,0.0
163,Intel,0.0,1.0,0.0
164,Intel,0.0,1.0,0.0
165,Intel,0.0,1.0,0.0
166,Intel,0.0,1.0,0.0
167,Intel,0.0,1.0,0.0
168,Intel,0.0,1.0,0.0
169,Intel,0.0,1.0,0.0
170,Intel,0.0,1.0,0.0
171,Intel,0.0,1.0,0.0
172,Intel,0.0,1.0,0.0
173,Intel,0.0,1.0,0.0
174,Intel,0.0,1.0,0.0
175,Intel,0.0,1.0,0.0
176,Intel,0.0,1.0,0.0
177,Intel,0.0,1.0,0.0
178,Intel,0.0,1.0,0.0
179,Intel,0.0,1.0,0.0
180,Intel,0.0,1.0,0.0
181,Intel,0.0,1.0,0.0
182,Intel,0.0,1.0,0.0
183,Intel,0.0,1.0,0.0
184,Intel,0.0,1.0,0.0
185,Intel,0.0,1.0,0.0
