,Weight,Casual,Gaming,ThinNlight
0,Casual,1.0,0.0,0.0
1,Casual,1.0,0.0,0.0
2,Casual,1.0,0.0,0.0
3,Casual,1.0,0.0,0.0
4,Casual,1.0,0.0,0.0
5,Casual,1.0,0.0,0.0
6,Casual,1.0,0.0,0.0
7,Casual,1.0,0.0,0.0
8,Casual,1.0,0.0,0.0
9,Casual,1.0,0.0,0.0
10,Casual,1.0,0.0,0.0
11,Casual,1.0,0.0,0.0
12,Casual,1.0,0.0,0.0
13,Casual,1.0,0.0,0.0
14,Casual,1.0,0.0,0.0
15,Casual,1.0,0.0,0.0
16,ThinNlight,0.0,0.0,1.0
17,ThinNlight,0.0,0.0,1.0
18,ThinNlight,0.0,0.0,1.0
19,Casual,1.0,0.0,0.0
20,Casual,1.0,0.0,0.0
21,Casual,1.0,0.0,0.0
22,Casual,1.0,0.0,0.0
23,ThinNlight,0.0,0.0,1.0
24,ThinNlight,0.0,0.0,1.0
25,Casual,1.0,0.0,0.0
26,ThinNlight,0.0,0.0,1.0
27,ThinNlight,0.0,0.0,1.0
28,ThinNlight,0.0,0.0,1.0
29,Casual,1.0,0.0,0.0
30,ThinNlight,0.0,0.0,1.0
31,ThinNlight,0.0,0.0,1.0
32,Casual,1.0,0.0,0.0
33,ThinNlight,0.0,0.0,1.0
34,ThinNlight,0.0,0.0,1.0
35,ThinNlight,0.0,0.0,1.0
36,Casual,1.0,0.0,0.0
37,ThinNlight,0.0,0.0,1.0
38,ThinNlight,0.0,0.0,1.0
39,ThinNlight,0.0,0.0,1.0
40,Casual,1.0,0.0,0.0
41,ThinNlight,0.0,0.0,1.0
42,Casual,1.0,0.0,0.0
43,Casual,1.0,0.0,0.0
44,Casual,1.0,0.0,0.0
45,ThinNlight,0.0,0.0,1.0
46,Casual,1.0,0.0,0.0
47,ThinNlight,0.0,0.0,1.0
48,ThinNlight,0.0,0.0,1.0
49,ThinNlight,0.0,0.0,1.0
50,Casual,1.0,0.0,0.0
51,ThinNlight,0.0,0.0,1.0
52,Casual,1.0,0.0,0.0
53,ThinNlight,0.0,0.0,1.0
54,Casual,1.0,0.0,0.0
55,ThinNlight,0.0,0.0,1.0
56,ThinNlight,0.0,0.0,1.0
57,ThinNlight,0.0,0.0,1.0
58,Casual,1.0,0.0,0.0
59,Casual,1.0,0.0,0.0
60,Casual,1.0,0.0,0.0
61,ThinNlight,0.0,0.0,1.0
62,Casual,1.0,0.0,0.0
63,Casual,1.0,0.0,0.0
64,Casual,1.0,0.0,0.0
65,Casual,1.0,0.0,0.0
66,Casual,1.0,0.0,0.0
67,Casual,1.0,0.0,0.0
68,Casual,1.0,0.0,0.0
69,Casual,1.0,0.0,0.0
70,ThinNlight,0.0,0.0,1.0
71,Casual,1.0,0.0,0.0
72,Casual,1.0,0.0,0.0
73,ThinNlight,0.0,0.0,1.0
74,Casual,1.0,0.0,0.0
75,Casual,1.0,0.0,0.0
76,Casual,1.0,0.0,0.0
77,ThinNlight,0.0,0.0,1.0
78,ThinNlight,0.0,0.0,1.0
79,ThinNlight,0.0,0.0,1.0
80,Casual,1.0,0.0,0.0
81,Casual,1.0,0.0,0.0
