,Brand,Processor_brand,Processor_name,Processor_gnrtn,Ram_gb,Ram_type,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Rating,Number of ratings,Number of reviews
0,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,34649,2,3,0
1,Lenovo,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,38999,3,65,5
2,Lenovo,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,39999,3,8,1
3,ASUS,Intel,Core i5,10th,8,DDR4,512,0,Windows,32,2,Casual,1,No,No,69990,3,0,0
4,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,64,0,Casual,1,No,No,26990,3,0,0
5,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,64,0,Casual,1,No,No,22990,3,0,0
6,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,32,0,Casual,1,No,No,21990,3,31,3
7,ASUS,Intel,Core i5,10th,8,DDR4,512,1024,Windows,32,2,Casual,1,No,No,58799,3,0,0
8,Lenovo,Intel,Core i5,10th,4,DDR4,512,1024,Windows,32,0,Casual,1,No,No,49999,3,0,0
9,acer,AMD,Ryzen 5,10th,4,DDR4,512,512,Windows,32,4,Casual,1,No,No,59990,4,1946,240
10,acer,AMD,Ryzen 5,10th,4,DDR4,512,512,Windows,32,6,Casual,1,No,No,93700,4,259,47
11,acer,AMD,Ryzen 5,10th,4,DDR4,512,512,Windows,32,4,Casual,1,No,No,72990,4,425,67
12,Avita,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,64,0,Casual,1,No,No,17490,3,1120,196
13,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,35990,3,0,0
14,HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,56490,3,0,0
15,HP,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,65390,3,0,0
16,Lenovo,Intel,Celeron Dual,Not Available,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,31999,4,286,19
17,HP,Intel,Celeron Dual,Not Available,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,32490,4,58,6
18,Lenovo,Intel,Celeron Dual,Not Available,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,31799,3,0,0
19,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,29890,4,7,0
20,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,23990,3,15279,1947
21,HP,Intel,Core i3,7th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,32955,4,311,27
22,HP,Intel,Core i5,7th,4,DDR4,512,1024,Windows,32,2,Casual,1,No,No,46200,4,47,7
23,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,34429,4,37,6
24,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,ThinNlight,2,No,Yes,37990,4,2080,235
25,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,Yes,35990,4,1479,181
26,ASUS,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,33980,4,67,3
27,HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,39990,4,273,30
28,DELL,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,39490,4,1267,171
29,HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,53990,4,14,0
30,acer,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,38990,3,0,0
31,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,37990,4,284,39
32,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,37890,4,44,5
33,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,38990,4,33,4
34,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,37990,4,286,36
35,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,41990,3,10,5
36,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,45990,4,816,147
37,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,39990,4,543,65
38,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,42490,4,9,1
39,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,36990,4,1178,137
40,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,53990,4,299,41
41,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,36990,4,20,1
42,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,2,No,No,38940,4,758,64
43,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,39490,4,634,64
44,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,39999,5,4,0
45,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,42990,4,17,2
46,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,49990,4,24,5
47,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,41490,4,1753,165
48,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,41990,4,216,21
49,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,41990,4,1084,160
50,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,38490,3,19,3
51,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,38990,4,106,13
52,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,44990,4,42,4
53,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,36490,3,0,0
54,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,Casual,1,No,No,38970,3,0,0
55,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,44900,4,1029,107
56,MSI,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,38990,4,53,11
57,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,44427,3,0,0
58,ASUS,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,35990,3,0,0
59,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,40200,3,48,1
60,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,40990,3,3,0
61,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,42490,3,0,0
62,acer,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,32,0,Casual,1,No,No,23990,3,61,4
63,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,71999,4,97,13
64,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,39990,4,181,19
65,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,41998,4,529,39
66,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,41990,3,0,0
67,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,39999,3,0,0
68,ASUS,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,39990,3,0,0
69,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,39998,4,10,1
70,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,42490,4,5205,561
71,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,41990,3,3,0
72,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,48490,3,0,0
73,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,44376,4,1090,96
74,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,43900,3,0,0
75,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,46690,3,0,0
76,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,40990,5,1,1
77,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,39990,4,44,2
78,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,43990,3,0,0
79,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,36990,4,70,9
80,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,48500,3,0,0
81,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,48990,3,0,0
82,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,23490,4,632,92
83,HP,Intel,Core i3,8th,4,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,54238,4,71,8
84,ASUS,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,37990,4,990,108
85,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,158,18
86,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,681,59
87,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,35990,4,130,12
88,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,30,4
89,ASUS,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,51990,4,6,2
90,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,48990,4,174,30
91,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,40,7
92,Lenovo,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,38990,3,13,1
93,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,45990,4,184,29
94,HP,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42490,4,1296,126
95,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,43970,4,571,56
