,Brand,Processor_brand,Processor_name,Ram_gb,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Number of ratings,Number of reviews
0,ASUS,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,0,34649,3,0
1,Lenovo,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,0,38999,65,5
2,Lenovo,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,0,39999,8,1
3,ASUS,Intel,Core i5,8,512,0,Windows,32,2,Casual,1,0,0,69990,0,0
4,ASUS,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,26990,0,0
5,ASUS,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,22990,0,0
6,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,21990,31,3
7,ASUS,Intel,Core i5,8,512,1024,Windows,32,2,Casual,1,0,0,58799,0,0
8,Lenovo,Intel,Core i5,4,512,1024,Windows,32,0,Casual,1,0,0,49999,0,0
9,acer,AMD,Ryzen 5,4,512,512,Windows,32,4,Casual,1,0,0,59990,1946,240
10,acer,AMD,Ryzen 5,4,512,512,Windows,32,6,Casual,1,0,0,93700,259,47
11,acer,AMD,Ryzen 5,4,512,512,Windows,32,4,Casual,1,0,0,72990,425,67
12,Avita,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,17490,1120,196
13,ASUS,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,0,35990,0,0
14,HP,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,1,0,56490,0,0
15,HP,Intel,Core i5,8,256,0,Windows,64,0,Casual,1,0,0,65390,0,0
16,Lenovo,Intel,Celeron Dual,4,256,0,Windows,64,0,ThinNlight,1,0,0,31999,286,19
17,HP,Intel,Celeron Dual,8,256,0,Windows,64,0,ThinNlight,1,0,0,32490,58,6
18,Lenovo,Intel,Celeron Dual,4,256,0,Windows,64,0,ThinNlight,1,0,0,31799,0,0
19,ASUS,Intel,Celeron Dual,4,256,0,Windows,64,0,Casual,1,0,0,29890,7,0
20,ASUS,Intel,Celeron Dual,4,512,1024,Windows,64,0,Casual,1,0,0,23990,15279,1947
21,HP,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,0,32955,311,27
22,HP,Intel,Core i5,4,512,1024,Windows,32,2,Casual,1,0,0,46200,47,7
